time,buyVolume,sellVolume,trades
2026-05-14T22:00:00.000Z,351,271,436
2026-05-14T22:01:00.000Z,113,66,145
2026-05-14T22:02:00.000Z,75,27,87
2026-05-14T22:03:00.000Z,148,117,183
2026-05-14T22:04:00.000Z,35,31,57
2026-05-14T22:05:00.000Z,98,41,104
2026-05-14T22:06:00.000Z,35,40,62
2026-05-14T22:07:00.000Z,44,75,79
2026-05-14T22:08:00.000Z,25,70,61
2026-05-14T22:09:00.000Z,86,175,179
2026-05-14T22:10:00.000Z,56,75,84
2026-05-14T22:11:00.000Z,35,47,53
2026-05-14T22:12:00.000Z,62,27,63
2026-05-14T22:13:00.000Z,26,21,35
2026-05-14T22:14:00.000Z,24,11,29
2026-05-14T22:15:00.000Z,15,37,32
2026-05-14T22:16:00.000Z,52,118,95
2026-05-14T22:17:00.000Z,50,128,124
2026-05-14T22:18:00.000Z,112,101,153
2026-05-14T22:19:00.000Z,52,28,63
2026-05-14T22:20:00.000Z,55,62,79
2026-05-14T22:21:00.000Z,32,31,49
2026-05-14T22:22:00.000Z,15,17,25
2026-05-14T22:23:00.000Z,19,26,38
2026-05-14T22:24:00.000Z,20,8,20
2026-05-14T22:25:00.000Z,74,43,88
2026-05-14T22:26:00.000Z,21,33,34
2026-05-14T22:27:00.000Z,17,18,23
2026-05-14T22:28:00.000Z,52,23,48
2026-05-14T22:29:00.000Z,110,42,109
2026-05-14T22:30:00.000Z,85,74,125
2026-05-14T22:31:00.000Z,22,26,43
2026-05-14T22:32:00.000Z,100,41,97
2026-05-14T22:33:00.000Z,18,36,38
2026-05-14T22:34:00.000Z,29,29,44
2026-05-14T22:35:00.000Z,48,25,47
2026-05-14T22:36:00.000Z,32,10,23
2026-05-14T22:37:00.000Z,7,8,12
2026-05-14T22:38:00.000Z,11,29,25
2026-05-14T22:39:00.000Z,3,9,9
2026-05-14T22:40:00.000Z,30,14,34
2026-05-14T22:41:00.000Z,12,13,22
2026-05-14T22:42:00.000Z,3,5,7
2026-05-14T22:43:00.000Z,12,22,27
2026-05-14T22:44:00.000Z,11,19,25
2026-05-14T22:45:00.000Z,13,22,29
2026-05-14T22:46:00.000Z,89,44,107
2026-05-14T22:47:00.000Z,27,37,57
2026-05-14T22:48:00.000Z,13,16,24
2026-05-14T22:49:00.000Z,12,12,21
2026-05-14T22:50:00.000Z,16,54,52
2026-05-14T22:51:00.000Z,11,21,22
2026-05-14T22:52:00.000Z,15,19,25
2026-05-14T22:53:00.000Z,14,17,23
2026-05-14T22:54:00.000Z,24,22,37
2026-05-14T22:55:00.000Z,34,20,44
2026-05-14T22:56:00.000Z,99,36,97
2026-05-14T22:57:00.000Z,19,14,29
2026-05-14T22:58:00.000Z,12,58,47
2026-05-14T22:59:00.000Z,39,24,52
2026-05-14T23:00:00.000Z,34,8,31
2026-05-14T23:01:00.000Z,60,32,59
2026-05-14T23:02:00.000Z,6,9,13
2026-05-14T23:03:00.000Z,30,32,51
2026-05-14T23:04:00.000Z,27,21,38
2026-05-14T23:05:00.000Z,10,18,24
2026-05-14T23:06:00.000Z,15,14,25
2026-05-14T23:07:00.000Z,46,49,71
2026-05-14T23:08:00.000Z,21,15,24
2026-05-14T23:09:00.000Z,11,43,39
2026-05-14T23:10:00.000Z,27,14,29
2026-05-14T23:11:00.000Z,15,7,19
2026-05-14T23:12:00.000Z,25,13,30
2026-05-14T23:13:00.000Z,29,12,32
2026-05-14T23:14:00.000Z,11,59,35
2026-05-14T23:15:00.000Z,11,14,19
2026-05-14T23:16:00.000Z,84,37,70
2026-05-14T23:17:00.000Z,24,25,33
2026-05-14T23:18:00.000Z,10,24,28
2026-05-14T23:19:00.000Z,10,19,24
2026-05-14T23:20:00.000Z,11,10,17
2026-05-14T23:21:00.000Z,13,13,18
2026-05-14T23:22:00.000Z,21,67,62
2026-05-14T23:23:00.000Z,12,3,11
2026-05-14T23:24:00.000Z,25,20,32
2026-05-14T23:25:00.000Z,53,48,68
2026-05-14T23:26:00.000Z,10,25,25
2026-05-14T23:27:00.000Z,20,6,20
2026-05-14T23:28:00.000Z,140,44,121
2026-05-14T23:29:00.000Z,41,74,75
2026-05-14T23:30:00.000Z,77,57,83
2026-05-14T23:31:00.000Z,26,41,46
2026-05-14T23:32:00.000Z,31,21,44
2026-05-14T23:33:00.000Z,41,25,45
2026-05-14T23:34:00.000Z,46,32,52
2026-05-14T23:35:00.000Z,13,16,27
2026-05-14T23:36:00.000Z,11,46,47
2026-05-14T23:37:00.000Z,67,27,64
