time,buyVolume,sellVolume,trades
2026-07-06T22:00:00.000Z,220,136,259
2026-07-06T22:01:00.000Z,19,39,50
2026-07-06T22:02:00.000Z,17,28,36
2026-07-06T22:03:00.000Z,27,13,35
2026-07-06T22:04:00.000Z,37,24,47
2026-07-06T22:05:00.000Z,48,109,123
2026-07-06T22:06:00.000Z,106,59,112
2026-07-06T22:07:00.000Z,35,65,72
2026-07-06T22:08:00.000Z,43,20,45
2026-07-06T22:09:00.000Z,19,11,24
2026-07-06T22:10:00.000Z,67,38,84
2026-07-06T22:11:00.000Z,59,46,82
2026-07-06T22:12:00.000Z,18,22,35
2026-07-06T22:13:00.000Z,20,33,36
2026-07-06T22:14:00.000Z,10,21,26
2026-07-06T22:15:00.000Z,55,53,86
2026-07-06T22:16:00.000Z,24,36,39
2026-07-06T22:17:00.000Z,12,10,19
2026-07-06T22:18:00.000Z,59,21,56
2026-07-06T22:19:00.000Z,11,11,19
2026-07-06T22:20:00.000Z,22,14,29
2026-07-06T22:21:00.000Z,13,6,17
2026-07-06T22:22:00.000Z,22,8,19
2026-07-06T22:23:00.000Z,24,4,22
2026-07-06T22:24:00.000Z,6,39,33
2026-07-06T22:25:00.000Z,33,61,74
2026-07-06T22:26:00.000Z,25,73,67
2026-07-06T22:27:00.000Z,37,68,77
2026-07-06T22:28:00.000Z,23,25,38
2026-07-06T22:29:00.000Z,12,32,35
2026-07-06T22:30:00.000Z,76,86,143
2026-07-06T22:31:00.000Z,35,18,35
2026-07-06T22:32:00.000Z,76,37,91
2026-07-06T22:33:00.000Z,60,24,39
2026-07-06T22:34:00.000Z,40,66,67
2026-07-06T22:35:00.000Z,51,66,75
2026-07-06T22:36:00.000Z,46,35,57
2026-07-06T22:37:00.000Z,7,9,15
2026-07-06T22:38:00.000Z,10,10,18
2026-07-06T22:39:00.000Z,21,5,23
2026-07-06T22:40:00.000Z,65,22,68
2026-07-06T22:41:00.000Z,26,23,38
2026-07-06T22:42:00.000Z,21,25,33
2026-07-06T22:43:00.000Z,41,44,69
2026-07-06T22:44:00.000Z,40,58,60
2026-07-06T22:45:00.000Z,77,139,150
2026-07-06T22:46:00.000Z,125,197,233
2026-07-06T22:47:00.000Z,83,56,103
2026-07-06T22:48:00.000Z,92,55,109
2026-07-06T22:49:00.000Z,17,26,36
2026-07-06T22:50:00.000Z,30,45,58
2026-07-06T22:51:00.000Z,11,22,27
2026-07-06T22:52:00.000Z,21,18,37
2026-07-06T22:53:00.000Z,35,93,99
2026-07-06T22:54:00.000Z,46,55,76
2026-07-06T22:55:00.000Z,70,135,152
2026-07-06T22:56:00.000Z,43,56,81
2026-07-06T22:57:00.000Z,76,67,110
2026-07-06T22:58:00.000Z,62,55,82
2026-07-06T22:59:00.000Z,24,47,51
2026-07-06T23:00:00.000Z,116,65,136
2026-07-06T23:01:00.000Z,89,44,102
2026-07-06T23:02:00.000Z,53,66,82
2026-07-06T23:03:00.000Z,57,37,75
2026-07-06T23:04:00.000Z,24,37,51
2026-07-06T23:05:00.000Z,33,22,46
2026-07-06T23:06:00.000Z,25,23,38
2026-07-06T23:07:00.000Z,10,17,22
2026-07-06T23:08:00.000Z,28,22,41
2026-07-06T23:09:00.000Z,71,114,138
2026-07-06T23:10:00.000Z,30,18,40
2026-07-06T23:11:00.000Z,26,35,51
2026-07-06T23:12:00.000Z,16,36,35
2026-07-06T23:13:00.000Z,16,14,25
2026-07-06T23:14:00.000Z,22,33,41
2026-07-06T23:15:00.000Z,28,41,54
2026-07-06T23:16:00.000Z,49,81,99
2026-07-06T23:17:00.000Z,33,32,49
2026-07-06T23:18:00.000Z,65,137,143
2026-07-06T23:19:00.000Z,62,103,123
2026-07-06T23:20:00.000Z,70,70,107
2026-07-06T23:21:00.000Z,57,27,68
2026-07-06T23:22:00.000Z,17,19,32
2026-07-06T23:23:00.000Z,68,43,90
2026-07-06T23:24:00.000Z,64,32,78
2026-07-06T23:25:00.000Z,49,41,63
2026-07-06T23:26:00.000Z,21,29,41
2026-07-06T23:27:00.000Z,81,44,105
2026-07-06T23:28:00.000Z,26,42,51
2026-07-06T23:29:00.000Z,45,55,54
2026-07-06T23:30:00.000Z,72,37,71
2026-07-06T23:31:00.000Z,29,64,72
2026-07-06T23:32:00.000Z,24,21,42
2026-07-06T23:33:00.000Z,32,52,64
2026-07-06T23:34:00.000Z,50,79,94
2026-07-06T23:35:00.000Z,62,23,54
2026-07-06T23:36:00.000Z,28,42,47
2026-07-06T23:37:00.000Z,34,15,43
2026-07-06T23:38:00.000Z,2,20,18
2026-07-06T23:39:00.000Z,28,35,49
2026-07-06T23:40:00.000Z,30,44,55
2026-07-06T23:41:00.000Z,90,107,155
2026-07-06T23:42:00.000Z,77,97,120
2026-07-06T23:43:00.000Z,84,17,69
2026-07-06T23:44:00.000Z,36,57,73
2026-07-06T23:45:00.000Z,58,130,143
2026-07-06T23:46:00.000Z,148,136,177
2026-07-06T23:47:00.000Z,63,104,134
2026-07-06T23:48:00.000Z,58,38,76
2026-07-06T23:49:00.000Z,62,44,80
2026-07-06T23:50:00.000Z,179,420,322
2026-07-06T23:51:00.000Z,88,71,121
2026-07-06T23:52:00.000Z,47,33,66
2026-07-06T23:53:00.000Z,38,50,66
2026-07-06T23:54:00.000Z,44,75,89
2026-07-06T23:55:00.000Z,34,34,61
2026-07-06T23:56:00.000Z,38,38,63
2026-07-06T23:57:00.000Z,27,48,61
2026-07-06T23:58:00.000Z,45,39,63
2026-07-06T23:59:00.000Z,68,52,101
