time,price,bidVolume,askVolume
2026-07-13T22:00:00.000Z,29439.25,2,0
2026-07-13T22:00:00.000Z,29439.5,2,0
2026-07-13T22:00:00.000Z,29439.75,6,0
2026-07-13T22:00:00.000Z,29440,3,0
2026-07-13T22:00:00.000Z,29440.25,6,0
2026-07-13T22:00:00.000Z,29440.5,3,0
2026-07-13T22:00:00.000Z,29440.75,1,0
2026-07-13T22:00:00.000Z,29441,6,0
2026-07-13T22:00:00.000Z,29441.25,4,0
2026-07-13T22:00:00.000Z,29441.5,5,0
2026-07-13T22:00:00.000Z,29441.75,8,0
2026-07-13T22:00:00.000Z,29442,7,1
2026-07-13T22:00:00.000Z,29442.25,12,0
2026-07-13T22:00:00.000Z,29442.5,5,3
2026-07-13T22:00:00.000Z,29442.75,2,1
2026-07-13T22:00:00.000Z,29443,6,1
2026-07-13T22:00:00.000Z,29443.25,1,3
2026-07-13T22:00:00.000Z,29443.5,0,8
2026-07-13T22:00:00.000Z,29443.75,0,3
2026-07-13T22:00:00.000Z,29444,9,7
2026-07-13T22:00:00.000Z,29444.25,7,11
2026-07-13T22:00:00.000Z,29444.5,5,8
2026-07-13T22:00:00.000Z,29444.75,6,3
2026-07-13T22:00:00.000Z,29445,3,7
2026-07-13T22:00:00.000Z,29445.25,4,6
2026-07-13T22:00:00.000Z,29445.5,2,15
2026-07-13T22:00:00.000Z,29445.75,13,5
2026-07-13T22:00:00.000Z,29446,2,6
2026-07-13T22:00:00.000Z,29446.25,3,0
2026-07-13T22:00:00.000Z,29446.5,0,2
2026-07-13T22:00:00.000Z,29446.75,0,2
2026-07-13T22:00:00.000Z,29447.25,0,1
2026-07-13T22:00:00.000Z,29447.5,2,5
2026-07-13T22:00:00.000Z,29447.75,6,1
2026-07-13T22:00:00.000Z,29448,3,0
2026-07-13T22:00:00.000Z,29448.25,4,10
2026-07-13T22:00:00.000Z,29448.5,1,6
2026-07-13T22:00:00.000Z,29448.75,5,11
2026-07-13T22:00:00.000Z,29449,5,6
2026-07-13T22:00:00.000Z,29449.25,15,2
2026-07-13T22:00:00.000Z,29449.5,7,2
2026-07-13T22:00:00.000Z,29449.75,2,9
2026-07-13T22:00:00.000Z,29450,13,9
2026-07-13T22:00:00.000Z,29450.25,8,1
2026-07-13T22:00:00.000Z,29450.5,7,4
2026-07-13T22:00:00.000Z,29450.75,13,6
2026-07-13T22:00:00.000Z,29451,4,4
2026-07-13T22:00:00.000Z,29451.25,6,6
2026-07-13T22:00:00.000Z,29451.5,8,5
2026-07-13T22:00:00.000Z,29451.75,7,2
2026-07-13T22:00:00.000Z,29452,1,7
2026-07-13T22:00:00.000Z,29452.25,6,6
2026-07-13T22:00:00.000Z,29452.5,10,8
2026-07-13T22:00:00.000Z,29452.75,6,10
2026-07-13T22:00:00.000Z,29453,4,11
2026-07-13T22:00:00.000Z,29453.25,2,19
2026-07-13T22:00:00.000Z,29453.5,0,9
2026-07-13T22:00:00.000Z,29453.75,3,13
2026-07-13T22:00:00.000Z,29454,3,14
2026-07-13T22:00:00.000Z,29454.25,1,9
2026-07-13T22:00:00.000Z,29454.5,2,7
2026-07-13T22:00:00.000Z,29454.75,8,8
2026-07-13T22:00:00.000Z,29455,2,16
2026-07-13T22:00:00.000Z,29455.25,4,9
2026-07-13T22:00:00.000Z,29455.5,1,14
2026-07-13T22:00:00.000Z,29455.75,4,6
2026-07-13T22:00:00.000Z,29456,0,6
2026-07-13T22:00:00.000Z,29456.25,0,9
2026-07-13T22:00:00.000Z,29457,0,1
2026-07-13T22:00:00.000Z,29457.5,0,6
2026-07-13T22:00:00.000Z,29457.75,1,1
2026-07-13T22:00:00.000Z,29458.25,1,0
2026-07-13T22:00:00.000Z,29458.75,0,1
2026-07-13T22:00:00.000Z,29459,0,1
2026-07-13T22:00:00.000Z,29459.25,0,7
2026-07-13T22:00:00.000Z,29459.5,0,2
2026-07-13T22:00:00.000Z,29459.75,0,1
2026-07-13T22:00:00.000Z,29460,2,7
2026-07-13T22:00:00.000Z,29460.25,1,1
2026-07-13T22:00:00.000Z,29460.5,0,2
2026-07-13T22:00:00.000Z,29461.5,1,0
2026-07-13T22:00:00.000Z,29462,2,1
2026-07-13T22:00:00.000Z,29462.25,6,3
2026-07-13T22:00:00.000Z,29462.5,1,2
2026-07-13T22:00:00.000Z,29462.75,5,6
2026-07-13T22:00:00.000Z,29463,1,2
2026-07-13T22:00:00.000Z,29463.25,5,2
2026-07-13T22:00:00.000Z,29463.5,3,0
2026-07-13T22:00:00.000Z,29463.75,10,6
2026-07-13T22:00:00.000Z,29464,2,3
2026-07-13T22:00:00.000Z,29464.25,1,9
2026-07-13T22:00:00.000Z,29464.5,1,6
2026-07-13T22:00:00.000Z,29464.75,5,4
2026-07-13T22:00:00.000Z,29465,5,6
2026-07-13T22:00:00.000Z,29465.25,4,5
2026-07-13T22:00:00.000Z,29465.5,5,6
2026-07-13T22:00:00.000Z,29465.75,4,6
2026-07-13T22:00:00.000Z,29466,8,4
2026-07-13T22:00:00.000Z,29466.25,8,2
2026-07-13T22:00:00.000Z,29466.5,3,3
2026-07-13T22:00:00.000Z,29466.75,22,8
