time,price,bidVolume,askVolume
2026-07-15T22:00:00.000Z,29698,2,0
2026-07-15T22:00:00.000Z,29698.25,2,0
2026-07-15T22:00:00.000Z,29698.5,3,0
2026-07-15T22:00:00.000Z,29698.75,4,0
2026-07-15T22:00:00.000Z,29699,2,0
2026-07-15T22:00:00.000Z,29699.25,2,0
2026-07-15T22:00:00.000Z,29699.75,2,3
2026-07-15T22:00:00.000Z,29700,3,0
2026-07-15T22:00:00.000Z,29700.25,1,2
2026-07-15T22:00:00.000Z,29700.5,3,0
2026-07-15T22:00:00.000Z,29700.75,3,1
2026-07-15T22:00:00.000Z,29701,2,0
2026-07-15T22:00:00.000Z,29701.25,3,4
2026-07-15T22:00:00.000Z,29701.5,4,1
2026-07-15T22:00:00.000Z,29701.75,3,1
2026-07-15T22:00:00.000Z,29702,2,2
2026-07-15T22:00:00.000Z,29702.25,8,1
2026-07-15T22:00:00.000Z,29702.5,4,1
2026-07-15T22:00:00.000Z,29702.75,5,2
2026-07-15T22:00:00.000Z,29703,1,1
2026-07-15T22:00:00.000Z,29703.25,7,2
2026-07-15T22:00:00.000Z,29703.5,42,1
2026-07-15T22:00:00.000Z,29703.75,4,0
2026-07-15T22:00:00.000Z,29704,1,5
2026-07-15T22:00:00.000Z,29704.25,5,0
2026-07-15T22:00:00.000Z,29704.5,12,6
2026-07-15T22:00:00.000Z,29704.75,4,0
2026-07-15T22:00:00.000Z,29705,3,3
2026-07-15T22:00:00.000Z,29705.25,0,4
2026-07-15T22:00:00.000Z,29705.5,1,1
2026-07-15T22:00:00.000Z,29705.75,5,0
2026-07-15T22:00:00.000Z,29706,9,0
2026-07-15T22:00:00.000Z,29706.25,4,0
2026-07-15T22:00:00.000Z,29706.5,1,0
2026-07-15T22:00:00.000Z,29706.75,4,0
2026-07-15T22:00:00.000Z,29707,10,1
2026-07-15T22:00:00.000Z,29707.25,18,1
2026-07-15T22:00:00.000Z,29707.5,5,0
2026-07-15T22:00:00.000Z,29707.75,12,1
2026-07-15T22:00:00.000Z,29708,24,6
2026-07-15T22:00:00.000Z,29708.25,8,6
2026-07-15T22:00:00.000Z,29708.5,6,10
2026-07-15T22:00:00.000Z,29708.75,5,10
2026-07-15T22:00:00.000Z,29709,0,14
2026-07-15T22:00:00.000Z,29709.25,4,9
2026-07-15T22:00:00.000Z,29709.5,3,5
2026-07-15T22:00:00.000Z,29709.75,6,7
2026-07-15T22:00:00.000Z,29710,8,4
2026-07-15T22:00:00.000Z,29710.25,2,5
2026-07-15T22:00:00.000Z,29710.5,4,9
2026-07-15T22:00:00.000Z,29710.75,7,3
2026-07-15T22:00:00.000Z,29711,3,8
2026-07-15T22:00:00.000Z,29711.25,5,4
2026-07-15T22:00:00.000Z,29711.5,6,5
2026-07-15T22:00:00.000Z,29711.75,6,6
2026-07-15T22:00:00.000Z,29712,3,4
2026-07-15T22:00:00.000Z,29712.25,5,5
2026-07-15T22:00:00.000Z,29712.5,12,6
2026-07-15T22:00:00.000Z,29712.75,4,4
2026-07-15T22:00:00.000Z,29713,10,2
2026-07-15T22:00:00.000Z,29713.25,12,6
2026-07-15T22:00:00.000Z,29713.5,1,9
2026-07-15T22:00:00.000Z,29713.75,7,5
2026-07-15T22:00:00.000Z,29714,9,10
2026-07-15T22:00:00.000Z,29714.25,9,1
2026-07-15T22:00:00.000Z,29714.5,0,4
2026-07-15T22:00:00.000Z,29714.75,5,2
2026-07-15T22:00:00.000Z,29715,8,17
2026-07-15T22:00:00.000Z,29715.25,8,7
2026-07-15T22:00:00.000Z,29715.5,7,4
2026-07-15T22:00:00.000Z,29715.75,16,9
2026-07-15T22:00:00.000Z,29716,9,14
2026-07-15T22:00:00.000Z,29716.25,13,7
2026-07-15T22:00:00.000Z,29716.5,10,11
2026-07-15T22:00:00.000Z,29716.75,13,18
2026-07-15T22:00:00.000Z,29717,19,31
2026-07-15T22:00:00.000Z,29717.25,16,14
2026-07-15T22:00:00.000Z,29717.5,16,38
2026-07-15T22:00:00.000Z,29717.75,18,19
2026-07-15T22:00:00.000Z,29718,15,34
2026-07-15T22:00:00.000Z,29718.25,13,17
2026-07-15T22:00:00.000Z,29718.5,16,18
2026-07-15T22:00:00.000Z,29718.75,3,26
2026-07-15T22:00:00.000Z,29719,6,10
2026-07-15T22:00:00.000Z,29719.25,3,12
2026-07-15T22:00:00.000Z,29719.5,11,14
2026-07-15T22:00:00.000Z,29719.75,10,4
2026-07-15T22:00:00.000Z,29720,3,10
2026-07-15T22:00:00.000Z,29720.25,0,4
2026-07-15T22:00:00.000Z,29720.5,0,18
2026-07-15T22:00:00.000Z,29720.75,0,6
2026-07-15T22:00:00.000Z,29721,0,5
2026-07-15T22:00:00.000Z,29721.25,0,2
2026-07-15T22:01:00.000Z,29709.75,5,1
2026-07-15T22:01:00.000Z,29710,10,1
2026-07-15T22:01:00.000Z,29710.25,10,3
2026-07-15T22:01:00.000Z,29710.5,7,2
2026-07-15T22:01:00.000Z,29710.75,6,2
2026-07-15T22:01:00.000Z,29711,4,2
2026-07-15T22:01:00.000Z,29711.25,5,14
