time,open,high,low,close,volume
2026-07-15T22:00:00.000Z,7615,7617,7614,7616.75,278
2026-07-15T22:01:00.000Z,7616.5,7619.5,7616.25,7619.25,302
2026-07-15T22:02:00.000Z,7619.5,7621,7619.25,7619.5,213
2026-07-15T22:03:00.000Z,7620,7620.5,7619.75,7620,65
2026-07-15T22:04:00.000Z,7620,7621,7619.5,7620.75,109
2026-07-15T22:05:00.000Z,7620.75,7621.75,7620.5,7621.5,111
2026-07-15T22:06:00.000Z,7621.5,7622.25,7621.5,7621.75,130
2026-07-15T22:07:00.000Z,7622,7622,7620.25,7620.75,195
2026-07-15T22:08:00.000Z,7620.75,7621.25,7619.75,7620.25,83
2026-07-15T22:09:00.000Z,7620,7620.75,7620,7620.25,57
2026-07-15T22:10:00.000Z,7620,7620.25,7619.25,7619.75,121
2026-07-15T22:11:00.000Z,7619.5,7619.75,7619.25,7619.75,46
2026-07-15T22:12:00.000Z,7619.5,7619.5,7618.75,7618.75,57
2026-07-15T22:13:00.000Z,7619,7619.75,7618.5,7619.25,107
2026-07-15T22:14:00.000Z,7619,7619.25,7618.5,7619,98
2026-07-15T22:15:00.000Z,7619,7619.25,7618.5,7618.75,20
2026-07-15T22:16:00.000Z,7618.75,7618.75,7618,7618.25,67
2026-07-15T22:17:00.000Z,7618.5,7619.25,7618.5,7618.75,85
2026-07-15T22:18:00.000Z,7618.5,7618.75,7618.25,7618.25,36
2026-07-15T22:19:00.000Z,7618.5,7618.75,7618,7618.5,27
2026-07-15T22:20:00.000Z,7618.25,7618.75,7618.25,7618.5,56
2026-07-15T22:21:00.000Z,7618.5,7618.5,7618.25,7618.5,62
2026-07-15T22:22:00.000Z,7618.25,7618.25,7617.5,7617.75,87
2026-07-15T22:23:00.000Z,7618,7618,7616.5,7617.5,117
2026-07-15T22:24:00.000Z,7617.25,7617.5,7616.5,7617,81
2026-07-15T22:25:00.000Z,7616.75,7617,7616.5,7616.75,69
2026-07-15T22:26:00.000Z,7617,7617.25,7616.5,7616.75,46
2026-07-15T22:27:00.000Z,7616.75,7617,7616.5,7617,30
2026-07-15T22:28:00.000Z,7616.75,7617,7616.5,7616.75,26
2026-07-15T22:29:00.000Z,7617,7617.25,7616.5,7616.75,97
2026-07-15T22:30:00.000Z,7617,7617.75,7616.5,7616.75,86
2026-07-15T22:31:00.000Z,7617,7617,7616.25,7616.5,57
2026-07-15T22:32:00.000Z,7616.5,7617,7616.25,7616.75,61
2026-07-15T22:33:00.000Z,7616.75,7617,7616.75,7616.75,36
2026-07-15T22:34:00.000Z,7617,7617,7616.5,7617,61
2026-07-15T22:35:00.000Z,7616.75,7617.25,7616.75,7617,90
2026-07-15T22:36:00.000Z,7617.25,7617.25,7616,7616.5,148
2026-07-15T22:37:00.000Z,7616.25,7616.25,7616,7616.25,39
2026-07-15T22:38:00.000Z,7616.25,7616.25,7615.5,7616,59
2026-07-15T22:39:00.000Z,7616,7616,7615.25,7615.75,56
2026-07-15T22:40:00.000Z,7615.5,7615.75,7615.25,7615.75,22
2026-07-15T22:41:00.000Z,7615.5,7615.5,7615.25,7615.5,54
2026-07-15T22:42:00.000Z,7615.25,7616,7615,7616,83
2026-07-15T22:43:00.000Z,7616,7616.25,7615.5,7616,78
2026-07-15T22:44:00.000Z,7616.25,7616.25,7615.5,7615.75,63
2026-07-15T22:45:00.000Z,7615.5,7616.5,7615.5,7616.25,60
2026-07-15T22:46:00.000Z,7616.25,7616.5,7616.25,7616.25,40
2026-07-15T22:47:00.000Z,7616.25,7616.5,7616,7616.25,53
2026-07-15T22:48:00.000Z,7616.25,7616.5,7616,7616.25,33
2026-07-15T22:49:00.000Z,7616,7616,7615,7615.25,103
2026-07-15T22:50:00.000Z,7615.25,7616,7615.25,7615.5,50
2026-07-15T22:51:00.000Z,7615.25,7615.25,7614.5,7614.75,50
2026-07-15T22:52:00.000Z,7614.75,7615.25,7614.75,7615,17
2026-07-15T22:53:00.000Z,7615.25,7615.25,7615,7615,24
2026-07-15T22:54:00.000Z,7615,7619.5,7613.25,7615.75,1117
2026-07-15T22:55:00.000Z,7615.75,7616.25,7614.25,7615.5,146
2026-07-15T22:56:00.000Z,7615.5,7618.25,7615,7618.25,147
2026-07-15T22:57:00.000Z,7618.5,7618.75,7617.75,7618.75,115
2026-07-15T22:58:00.000Z,7618.75,7619,7618,7618.25,67
2026-07-15T22:59:00.000Z,7618.25,7618.75,7618,7618.25,56
2026-07-15T23:00:00.000Z,7618.25,7618.75,7617.25,7618.25,129
2026-07-15T23:01:00.000Z,7618.25,7618.75,7618,7618.75,62
2026-07-15T23:02:00.000Z,7618.75,7619.5,7618.75,7619.5,94
2026-07-15T23:03:00.000Z,7619.25,7619.5,7618.75,7619.5,48
2026-07-15T23:04:00.000Z,7619.5,7619.5,7619,7619,21
2026-07-15T23:05:00.000Z,7619.25,7619.5,7617.5,7617.75,48
2026-07-15T23:06:00.000Z,7617.75,7618,7617.75,7617.75,11
2026-07-15T23:07:00.000Z,7617.75,7617.75,7617.5,7617.5,21
2026-07-15T23:08:00.000Z,7618,7618,7617.5,7617.75,22
2026-07-15T23:09:00.000Z,7617.5,7618.5,7617.5,7618.5,49
2026-07-15T23:10:00.000Z,7618.75,7619,7618.5,7618.5,24
2026-07-15T23:11:00.000Z,7618.25,7619,7618.25,7619,22
2026-07-15T23:12:00.000Z,7619,7619.75,7619,7619.75,31
2026-07-15T23:13:00.000Z,7619.5,7619.75,7619,7619,41
2026-07-15T23:14:00.000Z,7618.75,7618.75,7618.5,7618.5,29
2026-07-15T23:15:00.000Z,7618.5,7618.5,7617.75,7618.25,51
2026-07-15T23:16:00.000Z,7618.25,7618.75,7618,7618,40
2026-07-15T23:17:00.000Z,7618.25,7618.25,7617.5,7617.5,30
2026-07-15T23:18:00.000Z,7617.5,7618,7617,7617.75,71
2026-07-15T23:19:00.000Z,7617.75,7618.5,7617.75,7618.25,18
2026-07-15T23:20:00.000Z,7618,7618,7617.5,7618,18
2026-07-15T23:21:00.000Z,7618,7619,7618,7618.75,64
2026-07-15T23:22:00.000Z,7618.75,7618.75,7618.5,7618.75,5
2026-07-15T23:23:00.000Z,7618.5,7618.75,7618.25,7618.5,24
2026-07-15T23:24:00.000Z,7618.5,7618.5,7617.75,7618.25,48
2026-07-15T23:25:00.000Z,7618.5,7618.75,7618.25,7618.25,17
2026-07-15T23:26:00.000Z,7618,7619.5,7617.75,7619,89
2026-07-15T23:27:00.000Z,7619,7620,7619,7620,73
2026-07-15T23:28:00.000Z,7620,7620,7619.5,7619.75,39
2026-07-15T23:29:00.000Z,7619.75,7619.75,7619.75,7619.75,12
2026-07-15T23:30:00.000Z,7619.75,7620.25,7619.75,7620,54
2026-07-15T23:31:00.000Z,7619.75,7620.5,7619.5,7619.75,73
2026-07-15T23:32:00.000Z,7620,7620.25,7619.75,7620.25,25
2026-07-15T23:33:00.000Z,7620.25,7621.75,7620.25,7621.25,99
2026-07-15T23:34:00.000Z,7621.5,7622,7621,7621.5,131
2026-07-15T23:35:00.000Z,7621.75,7622,7621.5,7621.5,46
2026-07-15T23:36:00.000Z,7621.5,7621.5,7621.25,7621.25,19
2026-07-15T23:37:00.000Z,7621.5,7621.5,7621,7621.25,26
2026-07-15T23:38:00.000Z,7621.25,7621.25,7620.25,7620.5,44
2026-07-15T23:39:00.000Z,7620.5,7620.5,7619.5,7619.5,63
2026-07-15T23:40:00.000Z,7619.75,7619.75,7619.25,7619.5,30
2026-07-15T23:41:00.000Z,7619.5,7619.5,7619,7619,47
2026-07-15T23:42:00.000Z,7619,7619,7618.75,7618.75,39
2026-07-15T23:43:00.000Z,7618.75,7620,7618.75,7619.5,59
2026-07-15T23:44:00.000Z,7619.5,7620.75,7619.5,7620,65
2026-07-15T23:45:00.000Z,7620.25,7620.75,7619.5,7620.5,67
2026-07-15T23:46:00.000Z,7620.25,7620.5,7619.5,7619.5,43
2026-07-15T23:47:00.000Z,7619.25,7619.25,7618,7618.5,97
2026-07-15T23:48:00.000Z,7618.5,7618.75,7618,7618.5,38
2026-07-15T23:49:00.000Z,7618.5,7618.5,7617,7617,116
2026-07-15T23:50:00.000Z,7617.25,7618.25,7616.5,7618.25,133
2026-07-15T23:51:00.000Z,7618.25,7619,7617.5,7617.75,135
2026-07-15T23:52:00.000Z,7617.75,7618.25,7617,7617,113
2026-07-15T23:53:00.000Z,7616.75,7617.25,7616.75,7617.25,56
2026-07-15T23:54:00.000Z,7617.25,7617.25,7616.75,7616.75,26
2026-07-15T23:55:00.000Z,7617,7618,7616.75,7617.5,117
2026-07-15T23:56:00.000Z,7617.25,7617.25,7617,7617.25,22
2026-07-15T23:57:00.000Z,7617,7617.25,7616.5,7616.5,56
2026-07-15T23:58:00.000Z,7617,7617,7616.25,7616.25,66
2026-07-15T23:59:00.000Z,7616,7616.75,7615.5,7616.25,159
2026-07-16T00:00:00.000Z,7616.25,7618.5,7615.75,7618,298
2026-07-16T00:01:00.000Z,7618.25,7620.75,7618.25,7620.5,285
2026-07-16T00:02:00.000Z,7620.25,7623.75,7620.25,7623,618
2026-07-16T00:03:00.000Z,7622.75,7623.25,7621,7621.75,191
2026-07-16T00:04:00.000Z,7621.75,7623.25,7621.5,7623.25,151
2026-07-16T00:05:00.000Z,7623.25,7624,7622.25,7622.75,265
2026-07-16T00:06:00.000Z,7622.75,7623,7621.5,7622.5,168
2026-07-16T00:07:00.000Z,7622.75,7623.25,7621.75,7622.25,223
2026-07-16T00:08:00.000Z,7622.25,7623.25,7622,7622.5,96
2026-07-16T00:09:00.000Z,7622.25,7624.75,7622,7623.75,297
2026-07-16T00:10:00.000Z,7624,7625,7623,7623.25,196
2026-07-16T00:11:00.000Z,7623.5,7624,7623.25,7623.25,144
2026-07-16T00:12:00.000Z,7623,7623.75,7622.5,7623.5,124
2026-07-16T00:13:00.000Z,7623.75,7625.75,7623.25,7625.25,200
2026-07-16T00:14:00.000Z,7625.25,7626.75,7625.25,7626.75,311
2026-07-16T00:15:00.000Z,7626.5,7627.75,7624.5,7624.5,353
2026-07-16T00:16:00.000Z,7624.25,7624.5,7622.25,7622.25,280
