time,open,high,low,close,volume
2025-01-14T23:00:00.000Z,5891.5,5891.5,5888.75,5889.25,844
2025-01-14T23:01:00.000Z,5889.5,5889.75,5888.5,5889.75,256
2025-01-14T23:02:00.000Z,5889.75,5890.25,5889,5889.25,328
2025-01-14T23:03:00.000Z,5889.25,5889.25,5888.5,5888.5,199
2025-01-14T23:04:00.000Z,5888.75,5889,5888,5888,253
2025-01-14T23:05:00.000Z,5888,5888.25,5887,5887.25,263
2025-01-14T23:06:00.000Z,5887.5,5887.75,5887.5,5887.5,162
2025-01-14T23:07:00.000Z,5887.5,5888,5887.25,5887.25,283
2025-01-14T23:08:00.000Z,5887.5,5887.5,5886.5,5886.75,147
2025-01-14T23:09:00.000Z,5887,5887.25,5886.75,5886.75,100
2025-01-14T23:10:00.000Z,5886.5,5888,5886.5,5887.5,349
2025-01-14T23:11:00.000Z,5887.5,5887.75,5887,5887.5,76
2025-01-14T23:12:00.000Z,5887.5,5888,5887.5,5887.5,111
2025-01-14T23:13:00.000Z,5887.75,5888.25,5887.5,5888,92
2025-01-14T23:14:00.000Z,5888,5888,5887,5887.25,88
2025-01-14T23:15:00.000Z,5887,5887.5,5886.25,5887.25,305
2025-01-14T23:16:00.000Z,5887.5,5887.5,5886.75,5887,68
2025-01-14T23:17:00.000Z,5886.75,5887.25,5886.75,5886.75,63
2025-01-14T23:18:00.000Z,5886.75,5886.75,5886.5,5886.5,32
2025-01-14T23:19:00.000Z,5886.25,5887.25,5886.25,5887,135
2025-01-14T23:20:00.000Z,5886.75,5887,5886,5886.25,185
2025-01-14T23:21:00.000Z,5886.25,5886.75,5886,5886.25,244
2025-01-14T23:22:00.000Z,5886.25,5886.75,5886.25,5886.5,130
2025-01-14T23:23:00.000Z,5886.5,5887,5886.5,5887,113
2025-01-14T23:24:00.000Z,5887,5887.25,5886.75,5887.25,115
2025-01-14T23:25:00.000Z,5887,5887.25,5886.75,5886.75,56
2025-01-14T23:26:00.000Z,5886.75,5887,5886.75,5887,33
2025-01-14T23:27:00.000Z,5886.75,5886.75,5886.25,5886.5,34
2025-01-14T23:28:00.000Z,5886.5,5886.75,5886.5,5886.5,48
2025-01-14T23:29:00.000Z,5886.25,5886.5,5885.75,5886,80
2025-01-14T23:30:00.000Z,5886.25,5887,5886,5886.5,237
2025-01-14T23:31:00.000Z,5886.25,5886.25,5885.5,5886,61
2025-01-14T23:32:00.000Z,5886.25,5886.25,5885.75,5885.75,33
2025-01-14T23:33:00.000Z,5885.75,5885.75,5885.25,5885.5,63
2025-01-14T23:34:00.000Z,5885.5,5885.75,5885.25,5885.25,57
2025-01-14T23:35:00.000Z,5885.25,5885.25,5884.5,5885,159
2025-01-14T23:36:00.000Z,5885,5885.25,5885,5885,32
2025-01-14T23:37:00.000Z,5885,5887,5885,5886.25,276
2025-01-14T23:38:00.000Z,5886.25,5886.5,5886,5886,29
2025-01-14T23:39:00.000Z,5886.25,5886.5,5886.25,5886.5,73
2025-01-14T23:40:00.000Z,5886.5,5886.5,5885.75,5886,58
2025-01-14T23:41:00.000Z,5885.75,5886,5885.75,5885.75,54
