time,open,high,low,close,volume
2025-03-10T22:00:00.000Z,5622,5623.75,5617,5622.25,1247
2025-03-10T22:01:00.000Z,5622.5,5624.25,5621.25,5624.25,615
2025-03-10T22:02:00.000Z,5624.5,5625,5623.5,5625,354
2025-03-10T22:03:00.000Z,5625,5625.5,5624.5,5625.25,204
2025-03-10T22:04:00.000Z,5625.25,5625.75,5623.75,5625,389
2025-03-10T22:05:00.000Z,5624.5,5625.25,5619,5619.75,680
2025-03-10T22:06:00.000Z,5619.75,5620,5617.75,5619,458
2025-03-10T22:07:00.000Z,5619,5619,5616.25,5616.25,548
2025-03-10T22:08:00.000Z,5616,5616.75,5609.5,5612.75,933
2025-03-10T22:09:00.000Z,5612.5,5613,5609,5609.25,920
2025-03-10T22:10:00.000Z,5609.25,5610.5,5606.5,5609,467
2025-03-10T22:11:00.000Z,5609,5610.25,5605.5,5606,765
2025-03-10T22:12:00.000Z,5605.75,5610.5,5605.75,5609,1287
2025-03-10T22:13:00.000Z,5608.75,5612.5,5608.75,5612.25,370
2025-03-10T22:14:00.000Z,5612.25,5614.75,5612.25,5612.25,753
2025-03-10T22:15:00.000Z,5612.25,5614.5,5612,5614.25,348
2025-03-10T22:16:00.000Z,5614.5,5615.5,5613.5,5615.25,290
2025-03-10T22:17:00.000Z,5615.5,5616.25,5612,5612,351
2025-03-10T22:18:00.000Z,5611.75,5614.5,5611,5614.25,801
2025-03-10T22:19:00.000Z,5614.5,5615.75,5613,5615.25,377
2025-03-10T22:20:00.000Z,5615,5615,5613.25,5614,255
2025-03-10T22:21:00.000Z,5614.25,5617.25,5614.25,5616.75,931
2025-03-10T22:22:00.000Z,5616.5,5618.5,5616.5,5617.25,551
2025-03-10T22:23:00.000Z,5617.5,5618.5,5616.75,5617,657
2025-03-10T22:24:00.000Z,5617,5618.5,5616,5616.5,764
2025-03-10T22:25:00.000Z,5616.75,5618,5615.25,5618,561
2025-03-10T22:26:00.000Z,5617.75,5620.75,5616.75,5620.5,817
2025-03-10T22:27:00.000Z,5620.5,5621,5619.25,5619.25,594
2025-03-10T22:28:00.000Z,5619.25,5619.75,5618.25,5618.5,569
2025-03-10T22:29:00.000Z,5618.75,5619.5,5618.25,5618.75,298
