time,open,high,low,close,volume
2025-11-04T23:00:00.000Z,25545,25570,25545,25559.5,658
2025-11-04T23:01:00.000Z,25560.75,25574.25,25556,25564.25,290
2025-11-04T23:02:00.000Z,25564.5,25565,25548.5,25551.25,178
2025-11-04T23:03:00.000Z,25550.5,25551.75,25538.75,25539.75,210
2025-11-04T23:04:00.000Z,25540.5,25540.5,25534.25,25534.75,142
2025-11-04T23:05:00.000Z,25536.25,25540.5,25532.5,25537.25,125
2025-11-04T23:06:00.000Z,25538.25,25540.5,25516.25,25518,260
2025-11-04T23:07:00.000Z,25518.75,25526.25,25518.75,25525,164
2025-11-04T23:08:00.000Z,25525.25,25530,25521.75,25523.5,130
2025-11-04T23:09:00.000Z,25524,25525.75,25512.75,25514.5,215
2025-11-04T23:10:00.000Z,25514.5,25519,25513,25513.5,129
2025-11-04T23:11:00.000Z,25514.5,25518.5,25511.25,25517.75,161
2025-11-04T23:12:00.000Z,25518.25,25527,25518.25,25526,153
2025-11-04T23:13:00.000Z,25526.75,25531,25525.5,25530.75,117
2025-11-04T23:14:00.000Z,25531.25,25532.75,25528,25528.75,74
2025-11-04T23:15:00.000Z,25528.5,25530.25,25521.25,25521.5,129
2025-11-04T23:16:00.000Z,25522.5,25525.5,25519.5,25524.25,104
2025-11-04T23:17:00.000Z,25525.5,25525.5,25516.5,25520,87
2025-11-04T23:18:00.000Z,25520,25534.25,25517.5,25534,280
2025-11-04T23:19:00.000Z,25533.5,25538,25533,25536,122
2025-11-04T23:20:00.000Z,25535.75,25539.25,25528.75,25533.75,141
2025-11-04T23:21:00.000Z,25533.75,25536.5,25529,25536.25,71
2025-11-04T23:22:00.000Z,25534.25,25539.25,25529.75,25531,70
2025-11-04T23:23:00.000Z,25530.25,25535,25525.75,25531.75,131
2025-11-04T23:24:00.000Z,25531.75,25531.75,25525.25,25528.75,53
2025-11-04T23:25:00.000Z,25529.25,25529.25,25520.5,25520.5,69
2025-11-04T23:26:00.000Z,25520.75,25522,25517.25,25521.25,103
2025-11-04T23:27:00.000Z,25521.25,25521.25,25517,25517.75,44
2025-11-04T23:28:00.000Z,25517.25,25518.25,25515,25518,40
2025-11-04T23:29:00.000Z,25518,25522,25518,25518.75,57
2025-11-04T23:30:00.000Z,25520,25526,25520,25525.75,84
2025-11-04T23:31:00.000Z,25526,25532.5,25522.75,25532.25,119
2025-11-04T23:32:00.000Z,25533,25537,25529.75,25532.5,123
2025-11-04T23:33:00.000Z,25533.5,25535.25,25524,25525.25,83
2025-11-04T23:34:00.000Z,25525,25525.75,25520,25523,58
2025-11-04T23:35:00.000Z,25524.25,25525.5,25522.25,25522.25,41
2025-11-04T23:36:00.000Z,25523.75,25524,25516.5,25517.5,81
2025-11-04T23:37:00.000Z,25517,25519.25,25513,25515.5,92
2025-11-04T23:38:00.000Z,25515.75,25521.5,25515.5,25521.25,65
2025-11-04T23:39:00.000Z,25521.25,25529.25,25521.25,25525.5,117
2025-11-04T23:40:00.000Z,25525.25,25526.5,25523.25,25526.5,21
2025-11-04T23:41:00.000Z,25527,25528,25524.25,25526,40
2025-11-04T23:42:00.000Z,25526.5,25528.5,25523.75,25525.5,45
2025-11-04T23:43:00.000Z,25526,25529.75,25525,25528.25,41
2025-11-04T23:44:00.000Z,25527.75,25532.25,25526,25526.75,75
2025-11-04T23:45:00.000Z,25527.5,25528,25511.25,25514.75,247
2025-11-04T23:46:00.000Z,25515.5,25517,25511.25,25513.25,113
2025-11-04T23:47:00.000Z,25512.25,25518.5,25511.5,25514,71
2025-11-04T23:48:00.000Z,25514.75,25515.5,25508,25511.75,126
2025-11-04T23:49:00.000Z,25510.25,25510.75,25504,25509,190
2025-11-04T23:50:00.000Z,25508.75,25511,25506,25508.75,83
2025-11-04T23:51:00.000Z,25507.25,25508.25,25505.25,25506.25,49
2025-11-04T23:52:00.000Z,25509.5,25514.25,25507.25,25512.25,98
2025-11-04T23:53:00.000Z,25510.75,25512.75,25507.75,25510.25,96
2025-11-04T23:54:00.000Z,25510.5,25510.5,25506,25509.75,85
2025-11-04T23:55:00.000Z,25510,25511.25,25505.5,25506.25,37
2025-11-04T23:56:00.000Z,25507,25508,25504,25505,71
2025-11-04T23:57:00.000Z,25504.5,25509,25501.75,25507,94
2025-11-04T23:58:00.000Z,25507.75,25510.25,25507,25508.25,42
2025-11-04T23:59:00.000Z,25509,25509,25501.75,25504.25,85
2025-11-05T00:00:00.000Z,25503.25,25503.25,25495.25,25498,384
2025-11-05T00:01:00.000Z,25498.5,25498.75,25488.5,25496.75,445
2025-11-05T00:02:00.000Z,25495.75,25496.25,25482.5,25486.25,206
2025-11-05T00:03:00.000Z,25486.25,25489.25,25473.25,25476,286
