time,open,high,low,close,volume
2025-07-28T22:00:00.000Z,23504.25,23510.75,23503,23505.25,197
2025-07-28T22:01:00.000Z,23508,23510.75,23507.25,23510.75,56
2025-07-28T22:02:00.000Z,23510.75,23511,23508.25,23510.5,32
2025-07-28T22:03:00.000Z,23510.75,23510.75,23508.75,23509.25,13
2025-07-28T22:04:00.000Z,23509.5,23510,23508,23508,26
2025-07-28T22:05:00.000Z,23507.5,23510.75,23506.75,23510.75,44
2025-07-28T22:06:00.000Z,23509.75,23511.75,23509.75,23510,24
2025-07-28T22:07:00.000Z,23511,23511.25,23509,23510.5,20
2025-07-28T22:08:00.000Z,23510.5,23515,23510.25,23513.75,75
2025-07-28T22:09:00.000Z,23514.25,23518.5,23511,23513.25,123
2025-07-28T22:10:00.000Z,23514,23518,23513.75,23516,88
2025-07-28T22:11:00.000Z,23518,23518.25,23515.75,23516.25,28
2025-07-28T22:12:00.000Z,23516.75,23516.75,23514,23516.25,36
2025-07-28T22:13:00.000Z,23516.5,23518.5,23516.5,23518.5,15
2025-07-28T22:14:00.000Z,23518.5,23520.5,23517.75,23519.5,69
2025-07-28T22:15:00.000Z,23519.75,23528.25,23519.75,23527.75,398
2025-07-28T22:16:00.000Z,23527.75,23528.25,23525.25,23526.75,49
2025-07-28T22:17:00.000Z,23526.25,23527.5,23523.5,23525,83
2025-07-28T22:18:00.000Z,23525,23527.75,23524.5,23526.5,66
2025-07-28T22:19:00.000Z,23526.5,23528,23524.5,23526,93
2025-07-28T22:20:00.000Z,23524.75,23526,23524.5,23525.25,45
2025-07-28T22:21:00.000Z,23525.75,23526.25,23523,23523.75,63
2025-07-28T22:22:00.000Z,23523,23525.5,23523,23524.5,33
2025-07-28T22:23:00.000Z,23524,23524.75,23523.25,23524.25,15
2025-07-28T22:24:00.000Z,23524,23526.5,23523.25,23525.5,61
2025-07-28T22:25:00.000Z,23525.5,23525.5,23523,23524.25,77
2025-07-28T22:26:00.000Z,23523.75,23524.5,23523.25,23524.25,21
2025-07-28T22:27:00.000Z,23524.25,23524.75,23522.75,23523.25,29
2025-07-28T22:28:00.000Z,23523,23523.75,23520,23523.25,110
2025-07-28T22:29:00.000Z,23523.25,23523.75,23522,23523.75,47
2025-07-28T22:30:00.000Z,23523.75,23524.75,23521.75,23523.25,83
2025-07-28T22:31:00.000Z,23522.75,23523,23520.5,23521.75,45
2025-07-28T22:32:00.000Z,23521.5,23524,23521.5,23522.5,53
2025-07-28T22:33:00.000Z,23523.25,23526.25,23523.25,23525.75,70
2025-07-28T22:34:00.000Z,23526,23526,23522,23522.75,55
2025-07-28T22:35:00.000Z,23522.75,23524,23522.25,23523.25,30
2025-07-28T22:36:00.000Z,23523.5,23524,23522.5,23523,24
2025-07-28T22:37:00.000Z,23523.25,23525.25,23523.25,23525.25,31
2025-07-28T22:38:00.000Z,23524.75,23524.75,23522.25,23523,24
2025-07-28T22:39:00.000Z,23523.25,23523.75,23521.5,23521.5,53
2025-07-28T22:40:00.000Z,23521.25,23521.5,23520.25,23521.25,29
2025-07-28T22:41:00.000Z,23521.5,23522.75,23521,23522.75,61
2025-07-28T22:42:00.000Z,23522.25,23522.25,23520.5,23520.75,39
2025-07-28T22:43:00.000Z,23521.25,23522.25,23521,23522.25,29
2025-07-28T22:44:00.000Z,23522.75,23524.25,23521.25,23521.5,136
2025-07-28T22:45:00.000Z,23521,23522.75,23520.5,23522,64
2025-07-28T22:46:00.000Z,23522,23523.5,23522,23523.25,16
2025-07-28T22:47:00.000Z,23523.25,23527,23522.25,23527,56
2025-07-28T22:48:00.000Z,23526.25,23527,23524.5,23526.5,52
2025-07-28T22:49:00.000Z,23526,23527,23525.5,23526.5,23
2025-07-28T22:50:00.000Z,23526.75,23527.25,23525.75,23525.75,95
2025-07-28T22:51:00.000Z,23525.5,23525.5,23524.25,23525,14
2025-07-28T22:52:00.000Z,23525.75,23526.5,23525.5,23526.25,16
2025-07-28T22:53:00.000Z,23526.75,23530,23526.25,23527.5,147
2025-07-28T22:54:00.000Z,23528,23529,23527.5,23527.5,25
2025-07-28T22:55:00.000Z,23528,23528.75,23527,23527,23
