time,open,high,low,close,volume
2026-06-22T22:00:00.000Z,30662.75,30673.75,30645.5,30665,471
2026-06-22T22:01:00.000Z,30664.25,30695.75,30662.75,30693.75,464
2026-06-22T22:02:00.000Z,30693.5,30701.25,30688.5,30692.75,240
2026-06-22T22:03:00.000Z,30694,30698,30676.5,30680.75,238
2026-06-22T22:04:00.000Z,30682.5,30686.25,30671.75,30676.75,132
2026-06-22T22:05:00.000Z,30674.5,30686,30663.5,30670.75,242
2026-06-22T22:06:00.000Z,30668,30675.75,30660.75,30661.75,139
2026-06-22T22:07:00.000Z,30665.5,30665.5,30655.5,30660.5,235
2026-06-22T22:08:00.000Z,30659.75,30659.75,30648.25,30655.75,209
2026-06-22T22:09:00.000Z,30655.75,30670,30654.25,30668.5,121
2026-06-22T22:10:00.000Z,30670.25,30670.5,30662.5,30663,83
2026-06-22T22:11:00.000Z,30660,30669.5,30655.75,30669.25,79
2026-06-22T22:12:00.000Z,30667.75,30670,30665,30667.5,46
2026-06-22T22:13:00.000Z,30666.5,30667.75,30662.75,30664.25,34
2026-06-22T22:14:00.000Z,30664.25,30664.5,30659.75,30664.5,40
2026-06-22T22:15:00.000Z,30664.25,30665.5,30660.75,30661.75,18
2026-06-22T22:16:00.000Z,30661.75,30666.5,30660,30665.75,33
2026-06-22T22:17:00.000Z,30667,30670,30661.75,30662.5,51
2026-06-22T22:18:00.000Z,30663,30668,30659.75,30665.25,28
2026-06-22T22:19:00.000Z,30665.25,30666.75,30663.75,30666.25,17
2026-06-22T22:20:00.000Z,30664.25,30665,30656.5,30657.5,26
2026-06-22T22:21:00.000Z,30656.5,30669.25,30656.5,30667.5,76
2026-06-22T22:22:00.000Z,30666.75,30668.75,30662.5,30664.5,36
2026-06-22T22:23:00.000Z,30665.75,30674.25,30665.5,30669.5,60
2026-06-22T22:24:00.000Z,30670.5,30673.75,30668,30669,57
2026-06-22T22:25:00.000Z,30669.5,30670,30665,30668,19
2026-06-22T22:26:00.000Z,30668.75,30668.75,30662.25,30664.5,33
2026-06-22T22:27:00.000Z,30665.5,30665.5,30660.75,30660.75,17
2026-06-22T22:28:00.000Z,30660,30660,30649.75,30649.75,198
2026-06-22T22:29:00.000Z,30649,30652,30634,30641,434
2026-06-22T22:30:00.000Z,30640,30644.25,30631.25,30633.5,234
2026-06-22T22:31:00.000Z,30632.25,30634.75,30618.75,30621,203
2026-06-22T22:32:00.000Z,30622.25,30623.25,30615.5,30619.25,137
2026-06-22T22:33:00.000Z,30618.5,30620,30610.25,30615.75,109
2026-06-22T22:34:00.000Z,30614.25,30615.25,30601.25,30604.5,233
2026-06-22T22:35:00.000Z,30604.25,30607.25,30596,30597.25,156
2026-06-22T22:36:00.000Z,30596.75,30596.75,30583.5,30588.75,256
2026-06-22T22:37:00.000Z,30588.75,30596,30572,30578.75,408
2026-06-22T22:38:00.000Z,30579.5,30584,30576,30582,176
2026-06-22T22:39:00.000Z,30583.25,30598.75,30583.25,30595.5,190
2026-06-22T22:40:00.000Z,30595.75,30598.75,30580.25,30586.5,195
2026-06-22T22:41:00.000Z,30585,30590.75,30584.5,30590,53
2026-06-22T22:42:00.000Z,30591.25,30592,30580.75,30589,88
2026-06-22T22:43:00.000Z,30588.5,30588.5,30583.75,30587,18
2026-06-22T22:44:00.000Z,30584.5,30585.25,30568.5,30574.75,196
2026-06-22T22:45:00.000Z,30573,30585.5,30572.25,30575.25,100
2026-06-22T22:46:00.000Z,30576.25,30578.25,30566.5,30571.75,127
2026-06-22T22:47:00.000Z,30573,30575,30569.25,30575,44
2026-06-22T22:48:00.000Z,30574.25,30583.5,30574.25,30583.5,99
2026-06-22T22:49:00.000Z,30584.25,30588.5,30580.75,30586.75,161
2026-06-22T22:50:00.000Z,30588,30589.5,30583.75,30588,108
2026-06-22T22:51:00.000Z,30588,30590.5,30580.75,30589.25,62
2026-06-22T22:52:00.000Z,30587,30588.5,30581,30583.5,47
2026-06-22T22:53:00.000Z,30585.25,30585.25,30579.5,30582,49
2026-06-22T22:54:00.000Z,30583.25,30593,30582,30591.5,90
2026-06-22T22:55:00.000Z,30590,30593.75,30586,30588,136
2026-06-22T22:56:00.000Z,30589.75,30591.75,30585.75,30587.5,89
2026-06-22T22:57:00.000Z,30586.75,30589,30580.75,30587.75,105
2026-06-22T22:58:00.000Z,30588.25,30589.75,30586,30587.75,40
2026-06-22T22:59:00.000Z,30586,30586.5,30582,30582.25,45
2026-06-22T23:00:00.000Z,30581.5,30582.25,30575.25,30579.5,166
2026-06-22T23:01:00.000Z,30579.75,30588.5,30579.75,30586.25,101
2026-06-22T23:02:00.000Z,30586,30586,30579,30579.25,53
2026-06-22T23:03:00.000Z,30579.5,30579.5,30560.5,30572,260
2026-06-22T23:04:00.000Z,30572.75,30579.25,30570.75,30574.75,116
2026-06-22T23:05:00.000Z,30574.5,30575.25,30569.5,30571.5,60
2026-06-22T23:06:00.000Z,30572.75,30579.75,30572.25,30579.75,46
2026-06-22T23:07:00.000Z,30578,30578,30570,30575.75,57
2026-06-22T23:08:00.000Z,30577.25,30577.25,30572,30573.5,31
2026-06-22T23:09:00.000Z,30571.75,30579.5,30569.25,30578.5,41
2026-06-22T23:10:00.000Z,30579.25,30579.5,30568,30572.75,39
2026-06-22T23:11:00.000Z,30571.75,30572.75,30562,30565.75,109
2026-06-22T23:12:00.000Z,30566.5,30568.5,30563.75,30567.25,68
2026-06-22T23:13:00.000Z,30567,30567,30557.75,30559.75,137
2026-06-22T23:14:00.000Z,30559.25,30563,30556.25,30558.75,131
2026-06-22T23:15:00.000Z,30559.75,30559.75,30546,30551.25,310
2026-06-22T23:16:00.000Z,30552,30556.5,30547.5,30553.75,59
2026-06-22T23:17:00.000Z,30554.5,30558.5,30549.25,30556.75,77
2026-06-22T23:18:00.000Z,30557,30557,30547.5,30547.75,57
2026-06-22T23:19:00.000Z,30547.75,30551,30547.25,30548.75,32
2026-06-22T23:20:00.000Z,30548.25,30558,30545,30556.25,103
2026-06-22T23:21:00.000Z,30555.25,30559.5,30553.75,30559.25,74
2026-06-22T23:22:00.000Z,30559.5,30559.5,30551.75,30556.25,47
2026-06-22T23:23:00.000Z,30554.75,30565,30553,30555.75,161
2026-06-22T23:24:00.000Z,30556.75,30560,30555,30558.25,66
2026-06-22T23:25:00.000Z,30559.75,30561.25,30554.75,30555.75,51
2026-06-22T23:26:00.000Z,30555.5,30566.75,30552.25,30564,147
2026-06-22T23:27:00.000Z,30565,30570.75,30564.5,30568.25,114
2026-06-22T23:28:00.000Z,30568,30572.5,30566.25,30570,89
2026-06-22T23:29:00.000Z,30569.25,30573.5,30568.5,30572,41
2026-06-22T23:30:00.000Z,30572,30575,30566,30574.5,71
2026-06-22T23:31:00.000Z,30574.5,30574.5,30569.25,30573,54
2026-06-22T23:32:00.000Z,30573.5,30574.75,30570,30572,39
2026-06-22T23:33:00.000Z,30571.25,30571.25,30566.5,30569,50
2026-06-22T23:34:00.000Z,30568,30568,30565,30567,22
2026-06-22T23:35:00.000Z,30567,30576.75,30567,30575,64
2026-06-22T23:36:00.000Z,30575,30575.25,30567.75,30570,69
2026-06-22T23:37:00.000Z,30570,30573,30567,30571.5,40
2026-06-22T23:38:00.000Z,30571,30572.25,30562.25,30565.25,73
2026-06-22T23:39:00.000Z,30564.25,30566,30559,30560.25,73
