time,open,high,low,close,volume
2025-04-24T22:00:00.000Z,19405,19427,19376,19379.25,679
2025-04-24T22:01:00.000Z,19379.25,19384.25,19371.75,19375.25,295
2025-04-24T22:02:00.000Z,19375.25,19375.25,19365.5,19372,151
2025-04-24T22:03:00.000Z,19370.25,19371.25,19364,19367.25,125
2025-04-24T22:04:00.000Z,19369,19369,19360.5,19362.75,107
2025-04-24T22:05:00.000Z,19362.5,19375.25,19360.25,19374.75,154
2025-04-24T22:06:00.000Z,19374,19378.5,19365.5,19374.5,165
2025-04-24T22:07:00.000Z,19373.75,19373.75,19365,19367,72
2025-04-24T22:08:00.000Z,19366.75,19371,19365.75,19371,62
2025-04-24T22:09:00.000Z,19370.75,19371.5,19363.5,19365,52
2025-04-24T22:10:00.000Z,19365.25,19367.25,19352.25,19356.75,172
2025-04-24T22:11:00.000Z,19358,19373.25,19357.75,19372.75,126
2025-04-24T22:12:00.000Z,19372.75,19376.25,19359,19361.75,145
2025-04-24T22:13:00.000Z,19361.5,19367.25,19360.5,19366,71
2025-04-24T22:14:00.000Z,19367.75,19378.25,19367.75,19377.25,135
2025-04-24T22:15:00.000Z,19378.25,19394.5,19377.5,19393.75,303
2025-04-24T22:16:00.000Z,19392.75,19398,19391,19392.25,200
2025-04-24T22:17:00.000Z,19393,19393.5,19388,19391,97
2025-04-24T22:18:00.000Z,19391.5,19392.5,19386.25,19388.75,59
2025-04-24T22:19:00.000Z,19388.25,19394,19385.5,19392,83
2025-04-24T22:20:00.000Z,19390,19392,19386.25,19388.25,38
2025-04-24T22:21:00.000Z,19388.25,19392.75,19385.25,19391.75,65
2025-04-24T22:22:00.000Z,19391.25,19391.25,19387.5,19389.5,35
2025-04-24T22:23:00.000Z,19387.75,19400.75,19387.75,19399.5,138
2025-04-24T22:24:00.000Z,19399.5,19401.25,19396.75,19397.5,69
2025-04-24T22:25:00.000Z,19399,19401.25,19395.5,19400.25,103
2025-04-24T22:26:00.000Z,19400,19403,19393.25,19401.25,106
2025-04-24T22:27:00.000Z,19401.75,19405,19401.75,19404,78
2025-04-24T22:28:00.000Z,19404.25,19406.5,19401.75,19402.5,117
2025-04-24T22:29:00.000Z,19402.25,19405.75,19401.75,19404,78
2025-04-24T22:30:00.000Z,19404.25,19408.5,19401.25,19407,204
2025-04-24T22:31:00.000Z,19406.5,19406.5,19391.75,19402,192
2025-04-24T22:32:00.000Z,19401,19404.75,19397.75,19401,75
2025-04-24T22:33:00.000Z,19401,19403.5,19398.5,19398.5,57
2025-04-24T22:34:00.000Z,19398.5,19399,19392.5,19395.5,68
2025-04-24T22:35:00.000Z,19394.5,19395.25,19388,19393,147
2025-04-24T22:36:00.000Z,19394,19394.25,19389.25,19390,55
2025-04-24T22:37:00.000Z,19390.75,19401.5,19390.75,19395.25,119
2025-04-24T22:38:00.000Z,19396.75,19407,19394.5,19405.75,103
2025-04-24T22:39:00.000Z,19406,19408,19402.75,19406.5,70
2025-04-24T22:40:00.000Z,19406.25,19409.25,19405,19405.75,50
2025-04-24T22:41:00.000Z,19406,19409.25,19405.25,19409,47
2025-04-24T22:42:00.000Z,19408,19412.25,19407.25,19410.5,90
2025-04-24T22:43:00.000Z,19410.5,19413.25,19407.75,19411,142
2025-04-24T22:44:00.000Z,19410.25,19415.25,19410,19411.25,95
2025-04-24T22:45:00.000Z,19410.5,19413.5,19410.5,19412.5,43
2025-04-24T22:46:00.000Z,19411.25,19412.5,19409,19412.5,42
2025-04-24T22:47:00.000Z,19411.5,19414,19411,19412.5,24
2025-04-24T22:48:00.000Z,19412.25,19414,19409.75,19414,49
2025-04-24T22:49:00.000Z,19413.75,19414.75,19412.75,19414.5,126
2025-04-24T22:50:00.000Z,19414.5,19414.75,19408,19411,155
2025-04-24T22:51:00.000Z,19410.5,19411,19404.25,19405.25,86
2025-04-24T22:52:00.000Z,19405.5,19405.5,19401.5,19401.75,82
2025-04-24T22:53:00.000Z,19401.5,19403,19399.5,19402.25,47
2025-04-24T22:54:00.000Z,19402.5,19404,19400.75,19401.5,32
2025-04-24T22:55:00.000Z,19401.5,19402.25,19400,19402,28
2025-04-24T22:56:00.000Z,19401.5,19402.25,19400.75,19402,24
2025-04-24T22:57:00.000Z,19402,19402.75,19401,19401.75,40
2025-04-24T22:58:00.000Z,19402,19402.25,19395.25,19401,78
2025-04-24T22:59:00.000Z,19401.5,19408,19401,19405.25,56
2025-04-24T23:00:00.000Z,19406.75,19408.5,19402,19408,137
2025-04-24T23:01:00.000Z,19409.25,19412.25,19400.25,19401,148
2025-04-24T23:02:00.000Z,19402.25,19404,19400,19401.25,23
2025-04-24T23:03:00.000Z,19399.5,19401,19397,19398.5,42
2025-04-24T23:04:00.000Z,19398.5,19404,19398.5,19399.75,34
2025-04-24T23:05:00.000Z,19398.5,19402.25,19397.5,19402.25,35
2025-04-24T23:06:00.000Z,19401.25,19402,19397.5,19399.25,36
2025-04-24T23:07:00.000Z,19399.75,19400.25,19396.5,19400.25,44
2025-04-24T23:08:00.000Z,19402,19402.75,19399.75,19401.75,23
2025-04-24T23:09:00.000Z,19400.75,19402.25,19399.75,19402.25,15
2025-04-24T23:10:00.000Z,19400.75,19406.25,19399,19403.25,85
2025-04-24T23:11:00.000Z,19402.25,19408,19402.25,19405,58
2025-04-24T23:12:00.000Z,19405.25,19409,19405,19408.5,49
2025-04-24T23:13:00.000Z,19407.75,19408.25,19404.75,19407.25,45
2025-04-24T23:14:00.000Z,19407.75,19409.5,19403.5,19409,77
2025-04-24T23:15:00.000Z,19408.5,19410,19399.5,19399.5,87
2025-04-24T23:16:00.000Z,19400.25,19402.5,19397,19397.5,62
2025-04-24T23:17:00.000Z,19398.25,19404,19398.25,19401.75,29
2025-04-24T23:18:00.000Z,19403.25,19403.25,19400.75,19401,26
2025-04-24T23:19:00.000Z,19402.25,19403.5,19401.5,19402,18
2025-04-24T23:20:00.000Z,19401.75,19404.25,19401,19404.25,38
2025-04-24T23:21:00.000Z,19404.25,19421.5,19403.25,19414.25,326
