time,open,high,low,close,volume
2025-09-03T22:00:00.000Z,23456.75,23458.25,23442,23444.5,309
2025-09-03T22:01:00.000Z,23442.25,23450,23440.5,23442.5,175
2025-09-03T22:02:00.000Z,23442.5,23444.5,23439.75,23441.25,84
2025-09-03T22:03:00.000Z,23442,23444.5,23439,23444.5,105
2025-09-03T22:04:00.000Z,23444.5,23448.25,23444.5,23444.5,80
2025-09-03T22:05:00.000Z,23444,23446.5,23444,23445,51
2025-09-03T22:06:00.000Z,23445.75,23445.75,23440.5,23444.25,66
2025-09-03T22:07:00.000Z,23444,23446.5,23442.75,23446,53
2025-09-03T22:08:00.000Z,23446,23450,23445.25,23449.5,88
2025-09-03T22:09:00.000Z,23448.5,23450.5,23447.25,23449,46
2025-09-03T22:10:00.000Z,23449.5,23453.5,23448.25,23450.5,95
2025-09-03T22:11:00.000Z,23450.25,23451.25,23450,23450.75,34
2025-09-03T22:12:00.000Z,23451.25,23454.75,23451.25,23453,61
2025-09-03T22:13:00.000Z,23453.5,23454.5,23448.75,23449,46
2025-09-03T22:14:00.000Z,23449,23450.25,23447.25,23449.75,41
2025-09-03T22:15:00.000Z,23450,23450.75,23447.25,23448,40
2025-09-03T22:16:00.000Z,23448.75,23452.75,23448.75,23449.25,79
2025-09-03T22:17:00.000Z,23449.5,23451.25,23445.25,23449.5,71
2025-09-03T22:18:00.000Z,23449.25,23454.5,23449,23453,107
2025-09-03T22:19:00.000Z,23452.75,23453,23448.5,23448.5,38
2025-09-03T22:20:00.000Z,23449,23449.25,23446.5,23448,33
2025-09-03T22:21:00.000Z,23448,23452.75,23448,23448,39
2025-09-03T22:22:00.000Z,23447.25,23447.5,23444.75,23445,41
2025-09-03T22:23:00.000Z,23445,23445,23442.25,23443.5,47
2025-09-03T22:24:00.000Z,23443.5,23444.25,23439.75,23440.25,63
2025-09-03T22:25:00.000Z,23440.5,23441.75,23438.5,23439.5,104
2025-09-03T22:26:00.000Z,23440.5,23442.25,23438.5,23441.25,77
2025-09-03T22:27:00.000Z,23440.25,23441.5,23439.5,23440.75,17
2025-09-03T22:28:00.000Z,23440.25,23440.25,23438.5,23439.5,32
2025-09-03T22:29:00.000Z,23440,23440.75,23439.25,23439.25,17
2025-09-03T22:30:00.000Z,23439.5,23441.25,23438.75,23440.5,38
2025-09-03T22:31:00.000Z,23440.5,23442.25,23439.75,23442.25,61
2025-09-03T22:32:00.000Z,23442.5,23444,23441,23441,48
2025-09-03T22:33:00.000Z,23442.75,23443,23441.25,23443,29
2025-09-03T22:34:00.000Z,23443,23443,23439.25,23440.25,26
2025-09-03T22:35:00.000Z,23439.75,23440.25,23438,23439,24
2025-09-03T22:36:00.000Z,23438.75,23440,23438,23440,23
2025-09-03T22:37:00.000Z,23439.5,23442,23438.75,23441.5,27
2025-09-03T22:38:00.000Z,23441.25,23442,23441,23441.25,26
2025-09-03T22:39:00.000Z,23441.25,23441.25,23438.75,23439.25,30
2025-09-03T22:40:00.000Z,23439,23439.75,23438,23438,22
2025-09-03T22:41:00.000Z,23439,23439.75,23438,23438.75,26
2025-09-03T22:42:00.000Z,23439,23440,23437.75,23440,25
2025-09-03T22:43:00.000Z,23439.25,23439.25,23436.75,23437,45
2025-09-03T22:44:00.000Z,23437.75,23438,23436.25,23436.25,37
2025-09-03T22:45:00.000Z,23436.5,23437,23435.25,23436.5,61
2025-09-03T22:46:00.000Z,23436.75,23437.5,23435.25,23435.5,24
2025-09-03T22:47:00.000Z,23435.5,23436.5,23434.75,23436,24
2025-09-03T22:48:00.000Z,23435.75,23436,23434.25,23435.25,47
2025-09-03T22:49:00.000Z,23436,23436.75,23435.5,23436.75,5
2025-09-03T22:50:00.000Z,23436.75,23437.75,23436.25,23437.5,58
2025-09-03T22:51:00.000Z,23437.25,23437.25,23436.5,23437.25,14
2025-09-03T22:52:00.000Z,23436.75,23438,23436.5,23437.25,44
2025-09-03T22:53:00.000Z,23437.75,23438,23437.75,23438,3
2025-09-03T22:54:00.000Z,23438,23439,23437.5,23439,27
2025-09-03T22:55:00.000Z,23438.25,23441.25,23438.25,23441,60
2025-09-03T22:56:00.000Z,23440.5,23440.75,23436.5,23437,31
2025-09-03T22:57:00.000Z,23437,23437,23435.5,23436,20
2025-09-03T22:58:00.000Z,23435.5,23436,23435,23435.75,25
2025-09-03T22:59:00.000Z,23435.25,23435.75,23434.5,23434.75,22
2025-09-03T23:00:00.000Z,23435,23440.75,23434.5,23438.5,88
2025-09-03T23:01:00.000Z,23438,23439.75,23437.25,23438.25,27
2025-09-03T23:02:00.000Z,23438,23439.25,23438,23439,9
2025-09-03T23:03:00.000Z,23438.75,23440.5,23438,23440.5,24
2025-09-03T23:04:00.000Z,23440.5,23445.5,23440,23442,136
2025-09-03T23:05:00.000Z,23442.75,23447.5,23441.75,23447,49
2025-09-03T23:06:00.000Z,23446.25,23447.75,23446,23447.5,58
2025-09-03T23:07:00.000Z,23447.25,23447.25,23444.5,23445,27
2025-09-03T23:08:00.000Z,23445.5,23445.5,23443.5,23443.5,8
2025-09-03T23:09:00.000Z,23443.5,23444.25,23442.5,23444.25,11
2025-09-03T23:10:00.000Z,23445,23448,23445,23447.25,42
2025-09-03T23:11:00.000Z,23447.5,23449,23445.5,23448.25,60
2025-09-03T23:12:00.000Z,23448.25,23448.25,23446.75,23447.75,10
2025-09-03T23:13:00.000Z,23448.25,23452,23448,23450.75,85
2025-09-03T23:14:00.000Z,23450.75,23453.5,23450.75,23452.5,57
2025-09-03T23:15:00.000Z,23453,23457.25,23452.5,23453.5,112
2025-09-03T23:16:00.000Z,23453.5,23453.5,23451,23452.25,39
2025-09-03T23:17:00.000Z,23452,23452,23449.5,23449.5,18
2025-09-03T23:18:00.000Z,23449.5,23451,23447.5,23451,49
2025-09-03T23:19:00.000Z,23449.75,23450.75,23448.25,23449.25,17
2025-09-03T23:20:00.000Z,23449,23450.25,23447.5,23447.5,29
2025-09-03T23:21:00.000Z,23447,23449,23445.25,23448,17
2025-09-03T23:22:00.000Z,23448,23449.5,23448,23448.25,10
2025-09-03T23:23:00.000Z,23449.25,23451.25,23448.75,23449,35
2025-09-03T23:24:00.000Z,23450,23453,23448.25,23449.25,62
2025-09-03T23:25:00.000Z,23449.25,23451.5,23448.75,23448.75,25
2025-09-03T23:26:00.000Z,23449.25,23450,23449.25,23449.25,12
2025-09-03T23:27:00.000Z,23448.75,23449.5,23448.5,23448.5,8
2025-09-03T23:28:00.000Z,23448.5,23449,23447.5,23447.5,26
2025-09-03T23:29:00.000Z,23447.5,23447.75,23446.5,23446.5,10
2025-09-03T23:30:00.000Z,23446.5,23448.75,23446.5,23447.75,21
2025-09-03T23:31:00.000Z,23447.5,23447.75,23445.5,23446.25,63
2025-09-03T23:32:00.000Z,23445.75,23445.75,23441,23442.75,95
2025-09-03T23:33:00.000Z,23442.25,23443.25,23440,23441.75,83
2025-09-03T23:34:00.000Z,23441.5,23441.5,23438.75,23438.75,77
2025-09-03T23:35:00.000Z,23438.75,23438.75,23436.25,23437.25,86
2025-09-03T23:36:00.000Z,23437.5,23439.5,23436.5,23439.5,29
2025-09-03T23:37:00.000Z,23439.75,23440.75,23439,23440,24
2025-09-03T23:38:00.000Z,23439.75,23439.75,23438.5,23439,9
2025-09-03T23:39:00.000Z,23438.5,23441.25,23438.25,23441.25,11
2025-09-03T23:40:00.000Z,23441,23442.5,23440.75,23442,26
2025-09-03T23:41:00.000Z,23442,23442.5,23439.75,23441,25
2025-09-03T23:42:00.000Z,23441.25,23441.25,23439.75,23440.25,13
2025-09-03T23:43:00.000Z,23439.5,23439.5,23437.25,23437.5,16
