time,open,high,low,close,volume
2026-08-24T22:00:00.000Z,29140.5,29152.75,29131.25,29142.75,0
2026-08-24T22:01:00.000Z,29143.75,29145.25,29132.5,29136.5,173
2026-08-24T22:02:00.000Z,29137.75,29148.5,29137.75,29141.75,155
2026-08-24T22:03:00.000Z,29143.5,29146.5,29131,29132.75,142
2026-08-24T22:04:00.000Z,29131.75,29133.75,29121.75,29126.25,131
2026-08-24T22:05:00.000Z,29127.5,29134.25,29127,29129,97
2026-08-24T22:06:00.000Z,29130,29151,29130,29135.25,174
2026-08-24T22:07:00.000Z,29136.75,29137.5,29125.25,29132.5,173
2026-08-24T22:08:00.000Z,29131.5,29133,29128.5,29131.25,19
2026-08-24T22:09:00.000Z,29129.25,29132,29126,29126.25,57
2026-08-24T22:10:00.000Z,29126.25,29128.25,29122,29123.75,71
2026-08-24T22:11:00.000Z,29123.25,29126.25,29121.5,29124.5,94
2026-08-24T22:12:00.000Z,29123.5,29126.75,29120,29124,79
2026-08-24T22:13:00.000Z,29122.25,29123.75,29120,29122.5,52
2026-08-24T22:14:00.000Z,29122.75,29124.5,29122.25,29123.75,29
2026-08-24T22:15:00.000Z,29124.5,29124.5,29120.25,29122.75,50
2026-08-24T22:16:00.000Z,29121.25,29128.25,29121.25,29127,62
2026-08-24T22:17:00.000Z,29125.25,29126.25,29123,29125,24
2026-08-24T22:18:00.000Z,29125.5,29129.5,29125.5,29128.5,32
2026-08-24T22:19:00.000Z,29128.5,29129.25,29122.25,29124.75,48
2026-08-24T22:20:00.000Z,29123.5,29126,29120,29124.25,52
2026-08-24T22:21:00.000Z,29124.25,29130,29124.25,29128,53
2026-08-24T22:22:00.000Z,29127.75,29127.75,29120.75,29125.5,50
2026-08-24T22:23:00.000Z,29124.75,29128,29124.5,29126,70
2026-08-24T22:24:00.000Z,29127,29130,29126.25,29130,45
2026-08-24T22:25:00.000Z,29128.75,29129.25,29124,29124.75,23
2026-08-24T22:26:00.000Z,29122.75,29124.25,29122,29123.25,12
2026-08-24T22:27:00.000Z,29124.5,29126.25,29122.5,29125.25,6
2026-08-24T22:28:00.000Z,29124.25,29126,29121,29125.75,46
2026-08-24T22:29:00.000Z,29125,29126.75,29124.75,29126.75,8
2026-08-24T22:30:00.000Z,29123.75,29127.75,29117.25,29121.25,82
2026-08-24T22:31:00.000Z,29120.5,29122,29113.5,29119.5,136
2026-08-24T22:32:00.000Z,29120.25,29130,29120.25,29124,121
2026-08-24T22:33:00.000Z,29123,29124.25,29120.25,29120.25,13
2026-08-24T22:34:00.000Z,29122.25,29125.75,29122.25,29122.75,21
2026-08-24T22:35:00.000Z,29123.5,29125.5,29123.5,29125,6
2026-08-24T22:36:00.000Z,29125.75,29126.75,29124.25,29125.25,10
2026-08-24T22:37:00.000Z,29124.5,29125.75,29123,29123,18
2026-08-24T22:38:00.000Z,29123.75,29125.25,29123.75,29125,4
2026-08-24T22:39:00.000Z,29126,29128.75,29125.75,29125.75,23
2026-08-24T22:40:00.000Z,29125.5,29126,29120.25,29120.5,39
2026-08-24T22:41:00.000Z,29121.75,29122.5,29115,29119,99
2026-08-24T22:42:00.000Z,29118,29120.25,29117.5,29119.75,30
2026-08-24T22:43:00.000Z,29120.25,29120.25,29117.25,29117.75,22
2026-08-24T22:44:00.000Z,29117.25,29120.25,29117.25,29117.75,27
2026-08-24T22:45:00.000Z,29119,29119.5,29118,29118.75,9
2026-08-24T22:46:00.000Z,29119,29119,29116.25,29117,32
2026-08-24T22:47:00.000Z,29116.25,29117.75,29115.25,29117.5,50
2026-08-24T22:48:00.000Z,29117.75,29118.5,29116.5,29118.5,22
2026-08-24T22:49:00.000Z,29117.75,29120.25,29116.25,29116.75,15
2026-08-24T22:50:00.000Z,29117,29117,29116.5,29116.5,5
2026-08-24T22:51:00.000Z,29116.5,29118.5,29116.5,29118.25,8
2026-08-24T22:52:00.000Z,29118.75,29121.5,29111.5,29120.25,113
2026-08-24T22:53:00.000Z,29120.5,29120.75,29118.75,29119.75,18
2026-08-24T22:54:00.000Z,29119.75,29120,29118.25,29119,10
2026-08-24T22:55:00.000Z,29119,29119,29111.75,29113.25,100
2026-08-24T22:56:00.000Z,29114,29115.25,29113.75,29114.75,30
2026-08-24T22:57:00.000Z,29115.25,29121.25,29115,29118.5,86
2026-08-24T22:58:00.000Z,29119.75,29121,29119,29119.75,23
2026-08-24T22:59:00.000Z,29120,29121,29119.25,29121,13
2026-08-24T23:00:00.000Z,29121,29125.5,29119.25,29121.5,37
2026-08-24T23:01:00.000Z,29122.25,29123.25,29117.75,29118.5,24
2026-08-24T23:02:00.000Z,29119,29121.25,29116.5,29120.25,31
2026-08-24T23:03:00.000Z,29120.25,29120.75,29117.5,29119.75,19
2026-08-24T23:04:00.000Z,29120.75,29121,29119.75,29121,5
2026-08-24T23:05:00.000Z,29119,29121.5,29118.5,29120,20
2026-08-24T23:06:00.000Z,29119.75,29120.25,29118.5,29120.25,13
2026-08-24T23:07:00.000Z,29119.75,29119.75,29118.25,29119.5,6
2026-08-24T23:08:00.000Z,29118.75,29124.75,29118,29123.5,34
